Feature,Description,,,,,,,,,,,,,,,,,danker_ratioofuppercase
q16a,Number of years a reviewer has been active.,,,,,,,,,,,,,,,,,
q16b,Mean standard deviation of the user star rating.,,,,,,,,,,,,,,,,,
q16c,Votes per character (How many total votes a reviewer got divided by the total number of characters in their reviews),,,,,,,,,,,,,,,,,
q16d,Average number of stars assigned by each reviewer for the businesses they reviewed.,,,,,,,,,,,,,,,,,
q16e,Ratio of uppercase letters to review text length.,,,,,,,,,,,,,,,,,
q16f,Standard deviation of user ratings.,,,,,,,,,,,,,,,,,
q16g,Number of times the word service appears in review.,,,,,,,,,,,,,,,,,
q16h,Excitement_Score - the number of times a reviewer has used an exclamation mark in their reviews.,,,,,,,,,,,,,,,,,
q16i,Occurrence of the f word in reviews.,,,,,,,,,,,,,,,,,
q16j,Avg # feedback votes per user per review written.,,,,,,,,,,,,,,,,,
q16k,best_worst_score (a positive or negative score depending on how many times a user uses the words 'best' and 'worst' in their reviews).,,,,,,,,,,,,,,,,,
q16l,"""All_star"": binary variable where 1 tells the user has left at least one review for each category of stars",,,,,,,,,,,,,,,,,
q16m,Average number of commas in reviews for each reviewer,,,,,,,,,,,,,,,,,
q16n,"Average number of times the word ""good"" occurs in the review. (Case insensitive)",,,,,,,,,,,,,,,,,
q16o,"Percent of reviews containing at least one exclaimation point (!), per reviewer",,,,,,,,,,,,,,,,,
q16p,"How often the dollar sign ""$"" appears in the review per review.",,,,,,,,,,,,,,,,,
q16q,Average Terseness Rating for a reviewer's reviews: (Useful votes / length of review) * 100. ,,,,,,,,,,,,,,,,,
q16r,The most frequently used star rating for each reviewer.,,,,,,,,,,,,,,,,,
q16s,Status of reviewer.,,,,,,,,,,,,,,,,,
q16t,The percentage of the users who review the same restaurant more than once.,,,,,,,,,,,,,,,,,
q16u,Count of the word 'great' in reviews.,,,,,,,,,,,,,,,,,
q16v,Which week of the year a particular user posts the maximum no of reviews,,,,,,,,,,,,,,,,,
q16w,The sum of all the star ratings.,,,,,,,,,,,,,,,,,
q16x,Exclamation ratio: The ratio of exclamations to periods used in all reviews.,,,,,,,,,,,,,,,,,
q16y,"Average number of words used in reviews per ""useful"" vote",,,,,,,,,,,,,,,,,
q16z,Awesome score (number of times awesome appears in review).,,,,,,,,,,,,,,,,,
q16aa,Average number of times a reviewer mentions 'burger' in their reviews.,,,,,,,,,,,,,,,,,
q16ab,Engagement Ratio = Total Votes/Total Review -> simple measure of classification between differently active users.,,,,,,,,,,,,,,,,,
q16ac,Average star rating.,,,,,,,,,,,,,,,,,